key,text,module
Updated To,Diperbarui Sampai,
Quantity,Kuantitas,
Attach File,Lampirkan file,
Download Product Bundle Sample CSV,Unduh CSV Contoh Paket Produk,
Submit,Kirim,
ERROR,KESALAHAN,
SUCCESS,KESUKSESAN,
Started At,Dimulai pada,
Run By,Dijalankan oleh,
Error Message,Pesan eror,
Attachment,Lampiran,
Download,Unduh,
Manage Product Bin,Kelola Tempat Produk,
Code Bin,Tempat Kode,
Sort Number,Urutkan Nomor,
Import Product Bin,Impor Produk Bin,
Order Import Success,Pesanan Impor Berhasil,
Download Product Bin by SKU Sample CSV,Unduh Product Bin berdasarkan SKU Contoh CSV,
Download Product Bin by SKU and Location CSV,Unduh Product Bin menurut SKU dan Lokasi CSV,
Product Bulk Tools,Alat Massal Produk,
Bulk Type,Tipe Massal,
Product Import,Impor Produk,
Download the Sample CSV,Unduh Contoh CSV,
Product Configurable Import,Impor Produk yang Dapat Dikonfigurasi,
Product Import Tutorial,Tutorial Impor Produk,
Product Configurable Import Tutorial,Tutorial Impor Produk yang Dapat Dikonfigurasi,
Product Image Upload,Unggah Gambar Produk,
Tutorial Product Image Upload,Unggah Gambar Produk Tutorial,
ID,PENGENAL,
ID From,ID Dari,
ID To,ID Ke,
SKU,SKU,
View,Lihat,
Rows Found,Baris Ditemukan,
Rows Processed,Baris Diproses,
Rows Success,Baris Sukses,
Rows Not Changed,Baris Tidak Berubah,
Rows Errors,Kesalahan Baris,
Log Messages,Masuk Pesan,
Line - Message,Baris - Pesan,
Status,Status,
"To upload the product list, please follow these steps:","Untuk mengunggah daftar produk, ikuti langkah-langkah berikut:",
Please prepare a product list to upload in CSV format. You can use the existing template containing the required data that can be downloaded from,Harap siapkan daftar produk untuk diunggah dalam format CSV. Anda dapat menggunakan template yang ada berisi data yang diperlukan yang dapat diunduh dari,
"If you want to use a different template for product upload, you can change it on the "," Jika Anda ingin menggunakan template lain untuk mengunggah produk, Anda dapat mengubahnya di",
Configuration Menu,Menu Konfigurasi,
Prepare the template in,Siapkan template di,
CSV,CSV,
file format with comma-separated values. This format is required for product import. The first row is the column name and below it is the product data. For example:,format file dengan nilai yang dipisahkan koma. Format ini diperlukan untuk impor produk. Baris pertama adalah nama kolom dan di bawahnya adalah data produk. Sebagai contoh:,
"sku,name,price,stock.qty","sku,nama,harga,stok.qty",
"X9HC01,DEMINERALIZED WATER 1000L,1300000,10","X9HC01, AIR DEMINERALISASI 1000L, 1300000,10",
On the,pada,
select,Pilih,
", and expand on",", dan kembangkan",
section.,bagian.,
Upload File Product Template,Unggah File Template Produk,
", click",", klik",
Choose File,Pilih File,
button and select the CSV file you have been prepared before.,dan pilih file CSV yang telah Anda siapkan sebelumnya.,
"If the template file has been selected, the "," Jika file template telah dipilih, tombol",
Delete,Hapus,
button will be visible and you can use it to delete the existing file selection. This action will restore the template to the default version.,tombol akan terlihat dan Anda dapat menggunakannya untuk menghapus pilihan file yang ada. Aksi ini akan memulihkan template ke versi default.,
Click,Klik,
button to save configuration changes.,tombol untuk menyimpan perubahan konfigurasi.,
Open the product upload template using any supported application. The columns in this file are the minimum requirements to upload product data. You can add another column that is included in the product attribute.Also please note that only comma-separated values are supported for product upload.,Buka template unggah produk menggunakan aplikasi apa pun yang didukung. Kolom dalam file ini adalah persyaratan minimum untuk mengunggah data produk. Anda dapat menambahkan kolom lain yang disertakan dalam atribut produk. Perhatikan juga bahwa hanya nilai yang dipisahkan koma yang didukung untuk pengunggahan produk.,
Select file for product list (.csv format) by clicking , Pilih file untuk daftar produk (format .csv) dengan mengklik,
button to upload and please wait till the process is finished. The updated product table will be updated shortly after it.,tombol untuk mengupload dan silakan tunggu sampai proses selesai. Tabel produk yang diperbarui akan diperbarui segera setelahnya.,
"To import configurable products, please follow these steps:","Untuk mengimpor produk yang dapat dikonfigurasi, ikuti langkah-langkah berikut:",
Please prepare a product configurable list to import in a CSV format. You can use the template containing the required data that can be downloaded from,Harap siapkan daftar produk yang dapat dikonfigurasi untuk diimpor dalam format CSV. Anda dapat menggunakan template yang berisi data yang diperlukan yang dapat diunduh dari,
Configurable Product Upload Template,Template Unggah Produk yang Dapat Dikonfigurasi,
Open the configurable product import template using any supported application. The first column is the field/column name while below it is the configurable products data. Also please note that only comma-separated values are supported for configurable product import. For example:,Buka template impor produk yang dapat dikonfigurasi menggunakan aplikasi apa pun yang didukung. Kolom pertama adalah nama field/kolom sedangkan di bawahnya adalah data produk yang dapat dikonfigurasi. Harap perhatikan juga bahwa hanya nilai yang dipisahkan koma yang didukung untuk impor produk yang dapat dikonfigurasi. Sebagai contoh:,
Required data on CSV file:,Data yang diperlukan pada file CSV:,
Sku,Sku,
Product’s SKU (Stock Keeping Unit),SKU (Unit Penyimpanan Stok) Produk,
Group,Kelompok,
SKU of the parent product for the child product entry. Leave this column empty if the entry is parent product.,SKU produk induk untuk entri produk turunan. Biarkan kolom ini kosong jika entri adalah produk induk.,
Attribute set code,Kode set atribut,
Code for attribute set that is used in the product.,Kode untuk kumpulan atribut yang digunakan dalam produk.,
Name,Nama,
Product name.,Nama Produk.,
Description,Keterangan,
Description of the product.,Deskripsi produk.,
Product type,Tipe produk,
"For parent product, the type is","Untuk produk induk, jenisnya adalah",
configurable,dapat dikonfigurasi,
while for the child product is,sedangkan untuk produk anak adalah,
simple,sederhana,
Visibility,Visibilitas,
"To make the parent product visible in the search or catalog, please set the visibility to","Untuk membuat produk induk terlihat dalam pencarian atau katalog, harap atur visibilitas ke",
"For the child product, use","Untuk produk anak, gunakan",
"Catalog, Search","Katalog, Cari",
Not Visible Individually,Tidak Terlihat Secara Individual,
Product price only applies to the child product. Leave this field empty if the entry is a parent product.,Harga produk hanya berlaku untuk produk anak. Biarkan field ini kosong jika entri adalah produk induk.,
Qty,Kuantitas,
"Similar to product price, only child product that is required qty. For parent products, leave this field blank.","Mirip dengan harga produk, hanya produk anak yang diperlukan qty. Untuk produk induk, biarkan field ini kosong.",
Use $ to enable the product and use $ value to disable it.,Gunakan $ untuk mengaktifkan produk dan gunakan nilai $ untuk menonaktifkannya.,
The fields below are the product attributes that are currently used. This might be different depending on your needs.,Kolom di bawah ini adalah atribut produk yang saat ini digunakan. Ini mungkin berbeda tergantung pada kebutuhan Anda.,
Size,Ukuran,
"Product size only used for child products. For parent products, leave this field blank.","Ukuran produk hanya digunakan untuk produk anak. Untuk produk induk, biarkan field ini kosong.",
Color,Warna,
"Same as product price, add color only in child products entry. Leave this field empty if the entry is a parent product.","Sama seperti harga produk, tambahkan warna hanya di entri produk anak. Biarkan field ini kosong jika entri adalah produk induk.",
Configurable variations,Variasi yang dapat dikonfigurasi,
"Variation that is used for the configurable products. For example, if you use size and color in product attributes, the values for this field should be$size,color","Variasi yang digunakan untuk produk yang dapat dikonfigurasi. Misalnya, jika Anda menggunakan ukuran dan warna dalam atribut produk, nilai untuk field ini harus $ukuran,warna",
Select the CSV file you have edited earlier by clicking,Pilih file CSV yang telah Anda edit sebelumnya dengan mengklik,
Choose File $ button.,Pilih tombol File $.,
Click $ Submit,Klik $ Kirim,
button to upload and please wait till the process is finished. The product table with the newly added configurable products will be updated shortly after it.,tombol untuk mengupload dan silakan tunggu sampai proses selesai. Tabel produk dengan produk baru yang dapat dikonfigurasi akan diperbarui segera setelahnya.,
Product Image Upload Tutorial,Tutorial Unggah Gambar Produk,
"To upload product images, please follow these steps:","Untuk mengupload gambar produk, ikuti langkah-langkah berikut:",
Please prepare a product image list to upload in a CSV format. You can use the template containing the required data that can be downloaded from,Harap siapkan daftar gambar produk untuk diunggah dalam format CSV. Anda dapat menggunakan template yang berisi data yang diperlukan yang dapat diunduh dari,
Product Image Upload Template.,Template Unggah Gambar Produk.,
Open the product image upload template using any supported application. The first column is the field/column name while below it is the values. Also please note that only comma-separated values are supported for product images upload. For example:,Buka template unggah gambar produk menggunakan aplikasi apa pun yang didukung. Kolom pertama adalah nama field/kolom sedangkan di bawahnya adalah nilainya. Harap perhatikan juga bahwa hanya nilai yang dipisahkan koma yang didukung untuk unggahan gambar produk. Sebagai contoh:,
SKU :,SKU :,
SKU of the product you want to upload the image to.,SKU produk yang ingin Anda unggah gambarnya.,
image :,gambar :,
Link for product main image.,Tautan untuk gambar utama produk.,
small image :,gambar kecil:,
Link for product’s small image.,Tautan untuk gambar kecil produk.,
thumbnail :,gambar kecil:,
 Link for product thumbnail image., Tautan untuk gambar thumbnail produk.,
swatch image :,contoh gambar:,
Link for swatch image (small thumbnails that appear on the parent page of a product).,Tautan untuk gambar contoh (thumbnail kecil yang muncul di halaman induk suatu produk).,
additional images :,gambar tambahan:,
 Link for additional image (if any)., Tautan untuk gambar tambahan (jika ada).,
"You can add all images at once or add only specific images to one product SKU. If you only want to add a specific image, the values for the other image fields can be left blank. After that, the SWIFT OMS System will only update the product images that have a link as a value.","Anda dapat menambahkan semua gambar sekaligus atau hanya menambahkan gambar tertentu ke satu SKU produk. Jika Anda hanya ingin menambahkan gambar tertentu, nilai untuk field gambar lainnya dapat dibiarkan kosong. Setelah itu, Sistem OMS SWIFT hanya akan memperbarui gambar produk yang memiliki tautan sebagai nilai.",
Select the CSV file you edited earlier by clicking,Pilih file CSV yang Anda edit sebelumnya dengan mengklik,
button.,tombol.,
button to upload and please wait till the process is finished. The product table with the newly added product images will be updated shortly after it.,tombol untuk mengupload dan silakan tunggu sampai proses selesai. Tabel produk dengan gambar produk yang baru ditambahkan akan segera diperbarui setelahnya.,
Edit Account,Mengedit akun,
Information has been saved.,Informasi telah disimpan.,
Loading...,Memuat...,
Data not found!,Data tidak ditemukan!,
Password and name has been saved.,Kata sandi dan nama telah disimpan.,
Email and name has been saved.,Email dan nama telah disimpan.,
The name has been saved.,Nama telah disimpan.,
Valid email required,Diperlukan email yang valid,
Please confirm your password,Harap konfirmasi kata sandi Anda,
Passwords do not match,Sandi tidak cocok,
No Password,Tidak Ada Kata Sandi,
Edit My Account,Edit Akun Saya,
Firstname,Nama Depan,
Lastname,Nama Keluarga,
Location Code,Kode Lokasi,
Channel Code,Kode Channel,
Change Email,Ganti Surel,
Change Password,Ganti Sandi,
Email,Email,
Current Password,Sandi Saat Ini,
New Password,Sandi Baru,
Confirm New Password,Konfirmasi Sandi Baru,
Hello,Halo,
welcome to your dashboard!,selamat datang di dasbor Anda!,
Order,Pesanan,
You have,Anda mempunyai,
new order,pesanan baru,
to process,proses,
No Allocation Order,Tidak Ada Urutan Alokasi,
Failed Order,Pesanan Gagal,
Manage Order,Kelola Pesanan,
Shipment,Pengiriman,
orders to confirm,pesanan untuk konfirmasi,
and,dan,
orders cannot fulfill,pesanan tidak dapat dipenuhi,
Store Pickup,Pengambilan Toko,
Home Delivery,Pengiriman Rumah,
Marketplace,Marketplace,
Manage Shipment,Kelola Pengiriman,
Return,Pengembalian,
Request to Proceed,Permintaan untuk Lanjutkan,
Manage Return,Kelola Pengembalian,
Sales Channel,Channel penjualan,
Code,Kode,
Virtual Stock,Persediaan Virtual,
Edit,Edit,
see more...,lihat selengkapnya...,
Location List,Daftar Lokasi,
OK,Oke,
Login,Masuk,
Sign in to your account,masuk ke akun Anda,
Password,Kata Sandi,
Forgot your password?,lupa kata sandi Anda?,
Register Vendor,Daftarkan Vendor,
Set a New Password,Tetapkan Kata Sandi Baru,
Invalid captcha!,Captcha tidak valid!,
If there is an account associated with {{values.email}} you will receive an email with a link to reset your password.,"Jika ada akun yang terkait dengan {{values.email}}, Anda akan menerima email dengan tautan untuk menyetel ulang sandi.",
Forgot your password ?,Lupa kata sandi Anda ?,
Please enter your email address below to receive a password reset link.,Silakan masukkan alamat email Anda di bawah ini untuk menerima tautan pengaturan ulang kata sandi.,
Reset My Password,Setel ulang kata sandi saya,
Back to login page,Kembali ke halaman login,
invalid link,tautan tidak valid,
invalid email,email tidak valid,
Passwords must match,Sandi harus sesuai,
You updated your password.,Anda memperbarui kata sandi Anda.,
Your a new password,Kata sandi baru Anda,
Manage Stock,Kelola Stok,
Create Stock,Buat Stok,
Update Stock,Perbarui Stok,
Export Source,Ekspor Sumber,
Edit Stock,Ubah Stok,
Channel Stock Summary,Ringkasan Stok Channel,
Manage Stock Transfer,Kelola Transfer Stok,
Upload Stock Transfer,Unggah Transfer Stok,
Stock Transfer #,Pemindahan Persediaan #,
Uploaded Stock Transfer Items #,Barang Transfer Stok yang Diunggah #,
Add Stock Transfer,Tambahkan Transfer Persediaan,
Manage Stock Adjustment,Kelola Penyesuaian Stok,
Add New Stock Adjustment,Tambahkan Penyesuaian Stok Baru,
Edit Stock Adjustment #,Edit Penyesuaian Stok #,
Manage Price,Kelola Harga,
Price Location Upload,Unggah Lokasi Harga,
Update Stock History,Perbarui Riwayat Stok,
Inventory Audit Trail,Jejak Audit Inventaris,
Qty Incoming,Jumlah Masuk,
Qty Buffer,Jumlah Buffer,
Priority,Prioritas,
Special Price From,Harga Spesial Dari,
Special Price To,Harga Spesial Untuk,
Location is required,Lokasi diperlukan,
Please select the file : , Silakan pilih filenya :,
Download Total Quantity Sample CSV,Unduh CSV Contoh Kuantitas Total,
Download Saleable Quantity Sample CSV,Unduh CSV Contoh Kuantitas yang Dapat Dijual,
Stock successfully exported.,Stok berhasil diekspor.,
The channel stock summary has been exported,Ringkasan stok channel telah diekspor,
The stock transfer has been imported.,Transfer persediaan telah diimpor.,
The stock transfer has been submitted and applied.,Transfer persediaan telah diajukan dan diterapkan.,
The stock transfer has been saved.,Transfer persediaan telah disimpan.,
Stock adjustment successfully submitted and applied.,Penyesuaian stok berhasil dikirim dan diterapkan.,
Stock adjustment saved successfully.,Penyesuaian stok berhasil disimpan.,
Stock,Stok,
Stock Transfer Number,Nomor Transfer Persediaan,
Updated At,Diperbarui Pada,
Updated By,Diperbarui Oleh,
Last Sync at,Sinkronisasi Terakhir di,
Sync Status,Status Sinkronisasi,
Sync Message,Sinkronkan Pesan,
Sync To Marketplace,Sinkronkan Ke Marketplace,
Source Location,Lokasi Sumber,
Source Location Code,Kode Lokasi Sumber,
Target Location Code,Kode Lokasi Target,
Target Location,Lokasi Sasaran,
Created By,Dibuat Oleh,
Created At,Dibuat Saat,
Created At From,Dibuat Dari,
Created At To,Dibuat Sampai,
Enabled,Diaktifkan,
Disabled,Dinonaktif,
File Name,Nama file,
File,Mengajukan,
Download File,Unduh berkas,
View Items,Lihat Item,
Stock Transfer Upload History,Riwayat Unggah Transfer Persediaan,
qty transfer must be less than qty available,qty transfer harus kurang dari qty yang tersedia,
SKU Product,Produk SKU,
Qty Available,Jumlah Tersedia,
Qty Transfer,Transfer Kuantitas,
Qty Adjustment,Penyesuaian Kuantitas,
Add Product,Tambahkan Produk,
Upload Products,Unggah Produk,
Upload Price,Unggah Harga,
Reason,Alasan,
Save As Draft,Simpan sebagai draf,
Submit And Apply,Kirim Dan Terapkan,
Error Messages,Pesan Kesalahan,
Message,Pesan,
Remove,Menghapus,
Completed,Selesai,
Pending,Tertunda,
upload failed,gagal mengunggah,
csv missing header,header csv hilang,
No product found,Tidak ada produk yang ditemukan,
Some product not found,Beberapa produk tidak ditemukan,
Add Stock Adjustment,Tambahkan Penyesuaian Stok,
Type,Jenis,
Last Trigered By,Terakhir Dipicu Oleh,
Event,Peristiwa,
Event Ref No,No Referensi Acara,
Old Data,Data Lama,
New Data,Data Baru,
User,Pengguna,
Stock has been successfully updated!,Stok telah berhasil diperbarui!,
Something went wrong while trying to update the stock.,Terjadi masalah saat mencoba memperbarui stok.,
Ecommerce Channel,Channel Ecommerce,
Offline Channel,Channel Offline,
Integration Webstore,Toko Web Integrasi,
Integration Marketplace,Marketplace Integrasi,
Add Channel,Tambahkan Channel,
Add Offline Channel,Tambahkan Channel Offline,
The channel has been removed.,Channel telah dihapus.,
The channel has been disconnected.,Channel telah terputus.,
The channel has been reconnected.,Channel telah tersambung kembali.,
Error when reconnecting with markeplaces!,Kesalahan saat menghubungkan kembali dengan marketplace!,
"Sorry can't continue integration right now, please register the Client Key","Maaf tidak dapat melanjutkan integrasi sekarang, harap daftarkan Kunci Klien",
Connected,Terhubung,
Disconnected,Terputus,
Brand Name,Nama merk,
No records found,Tidak ada catatan yang ditemukan,
Disconnect,Memutuskan,
Reconnect,Hubungkan kembali,
Delete Channel,Hapus Channel,
Disconnect Channel,Putuskan Sambungan Channel,
Are you sure want to delete this channel?,Yakin ingin menghapus channel ini?,
Are you sure want to disconnect this channel?,Yakin ingin memutuskan channel ini?,
Search,Mencari,
The channel has been successfully integrated.,Channel telah berhasil diintegrasikan.,
Error! Something is wrong when create webstore channel!,Kesalahan! Ada yang salah saat membuat channel toko web!,
This field is Required!,Bagian ini diperlukan!,
Minimum 1 location must be selected!,Minimal 1 lokasi harus dipilih!,
Error when connecting to markeplaces!,Kesalahan saat menghubungkan ke marketplace!,
Type must be Integer!,Jenis harus bilangan bulat!,
Error when integrating with markeplaces!,Kesalahan saat berintegrasi dengan marketplace!,
Selected,Terpilih,
Make sure you have registered the following url callbacks:,Pastikan Anda telah mendaftarkan url callback berikut:,
on your JD.id console. You can read more details,di konsol JD.id Anda. Anda dapat membaca lebih detail,
Here,Di Sini,
SELECT STORE,PILIH TOKO,
Create New Store,Buat Toko Baru,
SELECT LOCATION,PILIH LOKASI,
Create New Location,Buat Lokasi Baru,
Start Integration,Mulai Integrasi,
New Store has been successfully created.,Toko Baru telah berhasil dibuat.,
Brand ID,ID Merek,
Cancel,Membatalkan,
Integration,Integrasi,
New Location has been successfully created.,Lokasi Baru telah berhasil dibuat.,
Address,Alamat,
Country,Negara,
City,Kota,
Province,Propinsi,
Zip Code,Kode Pos,
Telephone,Telepon,
Longitude,Longitude,
Latitude,Latitude,
Marketplace Store,Toko Marketplace,
Webstore,Toko Web,
Select Country,Pilih negara,
No data found,Tidak ada data ditemukan,
Channel Name,nama channel,
Register Marketplace API Client Key,Daftarkan Kunci Klien API Marketplace,
Client Name,Nama Klien,
Api key has been successfully registered,Kunci api telah berhasil didaftarkan,
Something went wrong while trying register marketplace api key!,Terjadi masalah saat mencoba mendaftarkan kunci api marketplace!,
record,catatan,
Confirmation,Konfirmasi,
Are you sure want to delete selected items?,Anda yakin ingin menghapus item yang dipilih?,
Are you sure want to delete all items?,Anda yakin ingin menghapus semua item?,
Success,Kesuksesan,
Auto Confirm,Konfirmasi Otomatis,
Actions,Aksi,
columns,kolom,
filters,filter,
out of,dari,
visible,terlihat,
Toggle show fields is empty.,Toggle show field kosong.,
Reset,Mengatur ulang,
Apply,Terapkan,
records found,catatan ditemukan,
selected,terpilih,
No records to display,Tidak ada catatan untuk ditampilkan,
No file chosen,Tidak ada file yang dipilih,
Address Detail,Detil Alamat,
Please input your address detail,Silakan masukkan detail alamat Anda,
"Cannot load map, please check your internet connection","Tidak dapat memuat peta, harap periksa koneksi internet Anda",
Yes,Ya,
No,Tidak,
Close,Tutup,
Please Select,Silakan Pilih,
This is a Required field!,Ini adalah kolom yang harus diisi!,
You haven't selected any items!,Anda belum memilih item apa pun!,
Are you sure want to sync to marketplace selected items?,Apakah Anda yakin ingin menyinkronkan ke item yang dipilih marketplace?,
Are you sure want to sync to marketplace all items?,Apakah Anda yakin ingin menyinkronkan semua item ke marketplace?,
Canceled,Dibatalkan,
failed delete action,aksi penghapusan gagal,
Attention,Perhatian,
failed sync action,aksi sinkronisasi gagal,
export,ekspor,
Exports,Ekspor,
All,Semua,
Filter fields is empty.,Field filter kosong.,
Clear,Clear,
The {{recordName}} was deleted.,{{recordName}} telah dihapus.,
Apply Filters,Terapkan Filter,
Clear Filters,Hapus Filter,
first page,halaman pertama,
previous page,halaman sebelumnya,
next page,halaman selanjutnya,
last page,halaman terakhir,
Value must be a number!,Nilai harus berupa angka!,
Progress,Kemajuan,
Status :,Status:,
Started At :,Dimulai Pada:,
Run By :,Dijalankan oleh :,
Error Message :,Pesan eror :,
Attachment :,Lampiran :,
Download Sample File,Unduh Contoh File,
Invalid email format!,Format email salah!,
Invalid phone number format!,Format nomor telepon tidak valid!,
Sign Out,Keluar,
unread notifications,notifikasi yang belum dibaca,
Something went wrong while trying to get your location error Please check your API key.,Terjadi kesalahan saat mencoba mendapatkan lokasi Anda : {{error}} Harap periksa kunci API Anda.,
Minimum 1 option must be selected!,Minimal 1 opsi harus dipilih!,
Please select the file,Silakan pilih filenya,
Error,Kesalahan,
Preview,Pratinjau,
Monday,Senin,
Tuesday,Selasa,
Wednesday,Rabu,
Thursday,Kamis,
Friday,Jumat,
Saturday,Sabtu,
Sunday,Minggu,
Manage Notification,Kelola Pemberitahuan,
All Notification was read,Semua Pemberitahuan telah dibaca,
Messages,Pesan,
Created at From,Dibuat di From,
Created at To,Dibuat di To,
Mark as Read,Tandai sebagai membaca,
Are you sure you want to continue?,Apakah anda yakin ingin melanjutkan?,
Read,Membaca,
Unread,Belum dibaca,
Mark All As Read,Tandai semua telah dibaca,
Integrations Configuration,Konfigurasi Integrasi,
Token,Token,
Re Generate,Hasilkan Ulang,
General Configuration,Konfigurasi Umum,
Product Configuration,Konfigurasi Produk,
Inventory Configuration,Konfigurasi Inventaris,
Price by Location Configuration,Harga berdasarkan Konfigurasi Lokasi,
Order Configuration,Konfigurasi Pesanan,
Invoice Configuration,Konfigurasi Faktur,
Shipment Configuration,Konfigurasi Pengiriman,
Return Configuration,Konfigurasi Pengembalian,
Logistix Configuration,Konfigurasi Logistix,
Logistix Provider Configuration,Konfigurasi Penyedia Logistix,
Add Logistix Provider,Tambahkan Penyedia Logistix,
Add New Logistix Provider,Tambahkan Penyedia Logistix Baru,
Logistix Provider has been saved.,Penyedia Logistix telah disimpan.,
Pick Pack Configuration,Pilih Konfigurasi Paket,
Configuration saved successfully.,Konfigurasi berhasil disimpan.,
Number of Slots per Picker,Jumlah Slot per Picker,
Number of Slots per Slots,Jumlah Slot per Slot,
Allow Confirm Pick Without Scan Barcode,Izinkan Konfirmasi Pilihan Tanpa Pindai Kode Batang,
Use Camera To Scan Barcode,Gunakan Kamera Untuk Memindai Kode Batang,
Wave Number Reset Method,Metode Reset Nomor Gelombang,
Wave Number Prefix,Awalan Nomor Gelombang,
Pick by Batch,Pilih berdasarkan Batch,
Number of Items per Slots,Jumlah Item per Slot,
Sorting Method,Metode Penyortiran,
Batch Number Reset Method,Metode Reset Nomor Batch,
Batch Number Prefix,Awalan Nomor Batch,
Pick List Number Reset Method,Pilih Metode Reset Nomor Daftar,
Pick List Number Prefix,Pilih Awalan Nomor Daftar,
Marketplace Adapter Configuration,Konfigurasi Adaptor Marketplace,
Marketplace Feature Configuration,Konfigurasi Fitur Marketplace,
The marketplace feature has been saved.,Fitur marketplace telah disimpan.,
Marketplace Feature,Fitur Marketplace,
Marketplace Feature Code,Kode Fitur Marketplace,
Add Features,Tambah Fitur,
Region Mapping Configuration,Konfigurasi Pemetaan Wilayah,
New Mapping has been saved.,Pemetaan Baru telah disimpan.,
Edit Region Mapping,Edit Pemetaan Wilayah,
Add New Region Mapping,Tambahkan Pemetaan Wilayah Baru,
Created To,Dibuat Sampai,
Created From,Dibuat Dari,
Region Raw,Wilayah Mentah,
Region Code,Kode Wilayah,
Vendor Configuration,Konfigurasi Vendor,
TADA Configuration,Konfigurasi TADA,
User Configuration,Konfigurasi Pengguna,
Notification Configuration,Konfigurasi Pemberitahuan,
Open API Configuration,Buka Konfigurasi API,
Tax Rules Configuration,Konfigurasi Aturan Pajak,
Tax Rules,Aturan Pajak,
Customer Tax Class,Kelas Pajak Pelanggan,
Product Tax Class,Kelas Pajak Produk,
Tax Rate,Persentase pajak,
Subtotal Only,Hanya Subtotal,
Sort Order,Urutkan Urutan,
Add New Tax Rule,Tambahkan Aturan Pajak Baru,
New Tax Rule,Aturan Pajak Baru,
Edit Tax Rule,Ubah Aturan Pajak,
Save Rule,Simpan Aturan,
General Information,Informasi Umum,
Additional Settings,Pengaturan Tambahan,
Calculate Off Subtotal Only,Hitung Subtotal Saja,
Add New Tax Class,Tambahkan Kelas Pajak Baru,
Add New Tax Rate,Tambahkan Tarif Pajak Baru,
Do you really want to delete this tax rate?,Apakah Anda benar-benar ingin menghapus tarif pajak ini?,
Do you really want to delete this tax class?,Apakah Anda benar-benar ingin menghapus kelas pajak ini?,
Tax Identifier,Pengenal Pajak,
Zip/Post is Range,Zip/Pos adalah Jangkauan,
Range From,Berkisar dari,
Range To,Rentang Ke,
Zip/Post Code,Kode Pos,
State,Negara,
Rate Percent,Nilai Persen,
Acceptance Deadline,Batas Respon,
Add Acceptance Deadline,Tambahkan Batas Respon,
Import Acceptance Deadline,Batas Respon Impor,
Acceptance Deadline (in hour),Batas Respon (dalam jam),
Edit Acceptance Deadline,Edit Batas Respon,
Shipping Method,Metode Pengiriman,
Acceptance Deadline has been saved!,Batas Respon telah disimpan!,
Acceptance Deadline has been created!,Batas Respon telah dibuat!,
Email Templates,Template Email,
Template,Templat,
Added,Ditambahkan,
Added From,Ditambahkan Dari,
Added To,Ditambahkan ke,
Subject,Subjek,
Template Type,Jenis Templat,
Add New Template,Tambahkan Template Baru,
Edit Template,Ubah Template,
Load Default Template,Muat Template Default,
Load Template,Muat Template,
Template Information,Informasi Templat,
Template Name,Nama Templat,
Template Subject,Subjek Templat,
Insert Variable,Sisipkan Variabel,
Template Content,Konten Templat,
Template Styles,Gaya Template,
Email Template has been successfully saved.,Template Email telah berhasil disimpan.,
Something went wrong while trying to save email template.,Terjadi masalah saat mencoba menyimpan template email.,
Template Preview,Pratinjau Template,
Something went wrong while trying to show template preview.,Terjadi masalah saat mencoba menampilkan pratinjau template.,
Use system value,Gunakan nilai sistem,
Old file:,Berkas lama:,
New file:,File baru:,
Channel Shipping Method,Metode Pengiriman Channel,
Provider,Pemberi,
Service,Melayani,
DESC,DESC,
Single Item,Barang Tunggal,
Multiple Item,Beberapa Item,
